Brand Code, Brand Name, Chain Name
3672, Sunbird Malawi , Sunbird Malawi
5112, Dream Madrid, Dream Madrid
3673, City Edge, City Edge
5113, Gestiono tu vivienda, Gestiono tu vivienda
3674, RedDoorz, RedDoorz
5137, Corp Hotels, HMH
6515, EWA, HMH
11049, ECOS Hotels, HMH
5136, Bahi Hotels & Resorts, HMH
2538, Coral Hotels & Resorts , HMH
3686, Ciutat Hotels, Ciutat Hotels
3687, Grup Soteras, Grup Soteras
3688, Galleon Hotels, Galleon Hotels
2352, Goelia, Goelia
2350, CGH, CGH
2349, Cela, Cela
2348, Ringhotels, Ringhotels
9926, Essential by Dorint, Dorint Hotels & Resorts
9927, Hommage Luxury Hotels Collection, Dorint Hotels & Resorts
3680, Milling Hotels, Milling Hotels
3681, James Joyce Coffetel, CN Plateno
3683, Hatton Collection, Hatton Collection
3684, Adonis Hotels & Residences, Adonis Hotels & Résidences
3685, HF Holidays, HF Holidays
3700, Grupo Reside, Grupo Reside
3701, Novara Hotels, Novara Hotels
4375, Maeva Particuliers, P&V
2362, P&V, P&V
3732, Odalys City, Odalys
2361, Odalys Vacances, Odalys
2360, Nemea, Nemea
2358, M vacances, M vacances
2357, LVR, LVR
2353, Lagrange Grand Bleu Vacances, Lagrange
8037, Lagrange City, Lagrange
8038, Lagrange Vacances, Lagrange
2355, Hotels du Soleil, Hotels du Soleil
2354, home business, home business
3691, Apartments of London, Apartments of London
3692, EHPC, EHPC
3880, Room Yield Managed, Room Yield
3693, Room Yield, Room Yield
3879, Room Yield Owned, Room Yield
2375, Halekulani Corporation, Halekulani Corporation
2374, Classic Resorts, Classic Resorts
2373, Castle, Castle
2367, VVF, VVF
2366, Topotel, Topotel
2365, Sara, Sara
3703, Grupo Regina, Grupo Regina
3704, Smart Rooms, Smart Rooms
3705, The Streets Apartments, The Streets Apartments
2385, Marival Resort & Suites All-Inclusive , Marival Resort & Suites All-Inclusive
2383, Diamond Resorts, Diamond Resorts
2381, Seaside Hotels, Seaside Hotels
2379, Oceanfront Realty, Oceanfront Realty
2378, Maui Condo and Home, Maui Condo and Home
2377, Marc Resorts, Marc Resorts
2394, Boscolo Hotels, Boscolo Hotels
8668, Zabeel House, Jumeirah
9900, WengenApartments, WengenApartments
9912, MiFi, MiFi
9908, StayUpon Hospitality Group, StayUpon
9909, Marquis Hotels, Marquis Hotels
9904, Gruppo UNA Franchising, Gruppo UNA
9901, VR_PM Denialara, VR_PM Denialara
9902, AirPeaceofMind, AirPeaceofMind
9906, Indept-Gloaguen, Indept-Gloaguen
9911, Gistiver, Gistiver
9905, Omnia Collection, Omnia Collection
9907, Indept-Briet, Indept-Briet
9921, VR_PM Blue Sky Luxury, VR_PM Blue Sky Luxury
9922, Olival54, Olival54
9920, VR_PM Youngs Suncoast Vacation Rentals, VR_PM Youngs Suncoast Vacation Rentals
9914, VR_PM Ymax, VR_PM Ymax
9915, ASA property, ASA property
9910, Gill Holden Property, Gill Holden Property
9913, VR_PM Heyday Host Pty Ltd, VR_PM Heyday Host Pty Ltd
9918, VR_PM One Vacation Home Inc, VR_PM One Vacation Home Inc
9919, VR_PM Take, VR_PM Take
9916, VR_PM N Info, VR_PM N Info
9917, VR_PM Grupo Visto, VR_PM Grupo Visto
8590, Aqui me quedo, Aqui me quedo
9928, VR_PM Casa con vista srl, VR_PM Casa con vista srl
8593, VR_PM LakelandTravel, VR_PM LakelandTravel
9933, UVE Hoteles, UVE Hoteles
9932, VR_PM Five Star Beach Properties LLC, VR_PM Five Star Beach Properties LLC
8591, RafleysCostadelSol, RafleysCostadelSol
9930, VR_PM Aunt Bugs, VR_PM Aunt Bugs
202, Camino Real, Grupo Real Turismo
9929, VR_PM PALMETTO VACATION RENTALS LLC, VR_PM PALMETTO VACATION RENTALS LLC
9923, Fusion Hotel Group, Fusion Hotel Group
9924, VR_PM Harbor Inn LLC, VR_PM Harbor Inn LLC
9925, VR_PM Sicily Home Trip, VR_PM Sicily Home Trip
9940, Hoteles Porcel, Hoteles Porcel
8603, El Acebo, El Acebo
9943, Hoteles Casa Acqua - COL, Hoteles Casa Aqua - COL
8601, CLLIX Apartments & Hotels, CLLIX Apartments & Hotels
9944, VR_PM UrHomeInPhilly, VR_PM UrHomeInPhilly
8600, VR_PM Spain Sun Rentals, VR_PM Spain Sun Rentals
9941, Sun&Sand, Sun&Sand
8602, Reservas Diretas, Reservas Diretas
9942, Hoteles Adrian Torres, Hoteles Adrian Torres
10418, Curamoria Collection, Hotelera Posadas
4530, Grand Fiesta Americana Hotels & Resorts, Hotelera Posadas
4552, The Explorean, Hotelera Posadas
4541, One Hoteles, Hotelera Posadas
4526, Fiesta Inn Hoteles Business Class, Hotelera Posadas
4538, Live Aqua Resorts, Hotelera Posadas
217, Harvey Hotel, Harvey Hotel
8597, Hibiscus, Hibiscus
9937, The Beautique Hotels, The Beautique Hotels
8592, VR_PM SombrillaGroup, VR_PM SombrillaGroup
9934, VR_PM El Matador Management Co, VR_PM El Matador Management Co
9935, KEYONEHOLIDAYHOMES4206, KEYONEHOLIDAYHOMES4206
8598, BalboaLLC, BalboaLLC
8594, Pierluigi Vaccari, Pierluigi Vaccari
9938, VR_PM Frank Porter Vacation Homes Rental, VR_PM Frank Porter Vacation Homes Rental
8599, ViajesMiDestino, ViajesMiDestino
9939, Garrison Hotels Limited Fort William, Garrison Hotels Limited Fort William
9951, VRPM Auvergne Location, VRPM Auvergne Location
8613, Factoría Ilusión, Factor√≠a Ilusi√≥n
8614, RD Hotels, RD Hotels
9956, Surfgasm, Surfgasm
8611, Ternelia, Ternelia
9952, VR_PM Holiday Casa, VR_PM Holiday Casa
8612, RaineHorneMollymookMilton, RaineHorneMollymookMilton
8607, VR_PM Amami Viaggi, VR_PM Amami Viaggi
8606, Properties Benidorm, Properties Benidorm
9949, HBD Hotels, HBD Hotels
8604, VR_PM Casas com Graça, VR_PM Casas com Gra√ßa
9945, VR_PM Euro Tours, VR_PM Euro Tours
8605, CozyPropertyManagementPtyLtd, CozyPropertyManagementPtyLtd
9947, VR_PM Samson Waters, VR_PM Samson Waters
9948, Lojo Properties, Lojo Properties
8610, S'hotelet de Santanyi, S'hotelet de Santanyi
8620, VR_PM Te Wanaka Lodge Limited, VR_PM Te Wanaka Lodge Limited
9960, VR_PM Home By I Do Good Inc, VR_PM Home By I Do Good Inc
8621, Rene Padron, Rene Padron
9963, GHM Hoteles, GHM Hoteles
9961, Son Caliu, Son Caliu
7276, Rede Pousadeiros, Rede Pousadeiros
8624, Signature Apartments, Signature Apartments
9965, VR_PM Four Seasons Property Management, VR_PM Four Seasons Property Management
7275, VR_PM Best Houses Portugal, VR_PM Best Houses Portugal
8625, Well'Come, Well'Come
9966, VR_PM Dominium Travel d.o.o., VR_PM Dominium Travel d.o.o.
7278, CartagenaSpain, CartagenaSpain
9962, Sevilla Home, Sevilla Home
7277, Grupo Arenal Suites, Grupo Arenal Suites
8623, VR_PM SERGIOPRATS, VR_PM SERGIOPRATS
9964, VR_PM Angel Host Inc, VR_PM Angel Host Inc
239, Regency Hotels, Florinda
8617, sanibelarmscondominiums, sanibelarmscondominiums
9958, VR_PM Amina-Aletsch GmbH, VR_PM Amina-Aletsch GmbH
8618, VR_PM Tania Perez Casero, VR_PM Tania Perez Casero
9959, VR_PM Fidelity Vacation Homes LLC, VR_PM Fidelity Vacation Homes LLC
8615, VR_PM Stay Minty, VR_PM Stay Minty
9955, VR_PM Host Trentino, VR_PM Host Trentino
8616, GDF Hors Contrat Global, GDF Hors Contrat Global
9957, VR_PM Earth Sea and Sky Vacations, VR_PM Earth Sea and Sky Vacations
8619, VR_PM DenStays, VR_PM DenStays
8639, Villa Kroka, Villa Kroka
8633, Belen Mainar Val, Belen Mainar Val
9973, VR_PM Airbetter Holiday Homes L.L.C, VR_PM Airbetter Holiday Homes L.L.C
7285, ItinereVillas, ItinereVillas
9970, VR_PM Homelike Villas, VR_PM Homelike Villas
8637, La Palma Villas, La Palma Villas
7287, Rio Tranquilo, Rio Tranquilo
8632, MS Gerencia (Marco Siragusa), MS Gerencia (Marco Siragusa)
9977, Henan, Henan
7286, VR_PM Sitges Rentals, VR_PM Sitges Rentals
8634, CasaHost, CasaHost
9980, VR_PM HomeSlice Stays, VR_PM HomeSlice Stays
7289, Boyal del Alto Tajo, Boyal del Alto Tajo
8638, Yanes Maquinas y Sistemas SL, Yanes Maquinas y Sistemas SL
9979, Eurotel, Eurotel
7288, Grupo Mambo Hotels, Grupo Mambo Hotels
8640, Manilva Sun, Manilva Sun
9975, Seda Group, Seda Group
241, Romantik Hotel, Romantik Hotel
10770, Sonesta Select, Sonesta Hotel
10769, Sonesta Simply Suites, Sonesta Hotel
10768, Royal Sonesta, Sonesta Hotel
4429, Sonesta ES, Sonesta Hotel
7280, Delfa Hoteles, Delfa Hoteles
8629, Pablo Hernandez, Pablo Hernandez
7279, Nevsky Hotels Group, Nevsky Hotels Group
8628, The Pig, The Pig
7282, El Puntazo, El Puntazo
8626, MDS Hoteles, MDS Hoteles
7281, VR_PM Fxst Unip Lda, VR_PM Fxst Unip Lda
8627, VR_PM BoerenBed BV, VR_PM BoerenBed BV
9968, VR_PM BnbManager, VR_PM BnbManager
7283, TuApartamento.eu, TuApartamento.eu
8520, GDF_88, Gites De France National
8521, GDF_45, Gites De France National
7294, GDF_06, Gites De France National
8642, VR_PM Yolo Properties, VR_PM Yolo Properties
9983, BS Hoteles, BS Hoteles
8644, El Baladero, El Baladero
9984, Mangalis Hotel Group, Mangalis Hotel Group
7296, Puerta Catedral, Puerta Catedral
8641, Las Casitas del Viajero, Las Casitas del Viajero
9981, Don Cecilio Guesthouse, Don Cecilio Guesthouse
7295, Valrural, Valrural
8643, Bilbao Living, Bilbao Living
9982, Sydney Homestay Services Pty Ltd, Sydney Homestay Services Pty Ltd
7298, Riviera Rentals, Riviera Rentals
8647, PY hotels, PY hotels
9987, Wonder Vacation Homes, Wonder Vacation Homes
7297, Apartment 4 Holiday, Apartment 4 Holiday
8649, Aqua Experience Group, Aqua Experience Group
9988, VR_PM Saferent, VR_PM Saferent
7300, Fun and Sun, Fun and Sun
9985, Ana Atelier Espacio, Ana Atelier Espacio
7299, Rosa Comares, Rosa Comares
8646, Fariones Plus, Fariones Plus
9986, VR_PM UnitedTravelPlus, VR_PM UnitedTravelPlus
9976, Astoria, Astoria
255, Westmark, Westmark
7291, VR_PM World Vacances Plus (Spain Promo), VR_PM World Vacances Plus (Spain Promo)
8635, Cesare Di Tomaso, Cesare Di Tomaso
7293, Rede Americas, Rede Americas
8636, Construcciones Garajonay SL, Construcciones Garajonay SL
9978, Sogo, Sogo
7292, VR_PM Caramba Rentals (Javier Rodriguez Ros), VR_PM Caramba Rentals (Javier Rodriguez Ros)
8631, 369srl, 369srl
9974, VR_PM Escape to BlueRidge, VR_PM Escape to BlueRidge
7305, Hotel Revenue Consultant, Hotel Revenue Consultant
8657, Gran Caribe, Gran Caribe
7304, Grupo Habitel, Grupo Habitel
8650, Geturhotels, Geturhotels
9995, VR_PM REMAX Kauai, VR_PM REMAX Kauai
7307, ZiOne Hoteles, ZiOne Hoteles
8653, Dinesen Collection, Dinesen Collection
9990, PHC Hotels, PHC Hotels
8655, Islazul, Islazul
9992, Galo Resort Madeira, Galo Resort Madeira
7309, VR_PM Sea star, VR_PM Sea star
8658, Mustique Hotels, Mustique Hotels
7308, VR_PM Dark Star, VR_PM Dark Star
8659, Barcarola Apartments, Barcarola Apartments
9999, VR_PM Rocky Mountain Resorts, VR_PM Rocky Mountain Resorts
7311, Casa Buena Vista Rentals, Casa Buena Vista Rentals
8652, Amalia Munoz, Amalia Munoz
9996, Alannia Resorts, Alannia Resorts
7310, Dutch Real Estate, Dutch Real Estate
8663, VR_PM Biffco, VR_PM Biffco
9997, VR_PM Rome Trastevere Home Srl, VR_PM Rome Trastevere Home Srl
9991, Four Views Hotels, Four Views Hotels
265, RIHGA Royal Hotels, RIHGA Royal Hotels
7302, Casas y Apartamentos El Olmo y Los Pinos, Casas y Apartamentos El Olmo y Los Pinos
7301, Casas Rurales Urmo, Casas Rurales Urmo
8648, VR_PM Kozy Guru, VR_PM Kozy Guru
9989, Simplyhosted, Simplyhosted
6776, Duerming, Oca Hoteles
7303, Oca Hoteles, Oca Hoteles
8654, Pensión Alcalá, Pensi√≥n Alcal√°
7316, Baia Hotels, Baia Hotels
8671, VR_PM Apartamentos y Playas, VR_PM Apartamentos y Playas
7315, Margas Golf, Margas Golf
8669, VR_PM SRS, VR_PM SRS
7318, ITI Colonna Hotels & Resorts, ITI Colonna Hotels & Resorts
8665, Basilea, Basilea
7317, ITI Marina, ITI Marina
7320, Casa Da Bragaña, Casa Da Braga√±a
8672, VR_PM SudEstServices, VR_PM SudEstServices
7319, Lu' Hotels, Lu' Hotels
8674, Villas Lanzarote Natura, Villas Lanzarote Natura
7322, StayLyric, StayLyric
8667, Nuno Madeira, Nuno Madeira
7321, Marholidays, Marholidays
8670, VR_PM Sun Property, VR_PM Sun Property
271, Wellesley Inn, Wellesley Inn
8664, Grupo Canela, Grupo Canela
8666, Paco Marrero, Paco Marrero
7314, Vacaciones Kayke, Vacaciones Kayke
7313, VR_PM Experiencies Rurals, VR_PM Experiencies Rurals
7312, Eduvita Rivera, Eduvita Rivera
8661, Palm Springs Vacation Homes, Palm Springs Vacation Homes
8677, Uno de Mil, Uno de Mil
8678, Spring Hoteles, Spring Hoteles
8679, Stay Sotogrande, Stay Sotogrande
